seq_len,time_since_start,seq_idx,time_since_last_event,type_event,dim_process
38,"[ 0.          0.35611111  1.06333333  1.1925      1.27055556  1.56944444
  1.82527778  2.06666667  2.18638889  2.25972222  2.71138889  3.16833333
  3.54027778  3.58388889  3.84083333  3.90083333  3.91444444  3.93611111
  6.11111111  6.54916667  7.53194444  7.74361111  8.22916667  8.69388889
  8.71666667  8.97833333 10.77444444 10.93166667 11.13416667 11.25277778
 11.25805556 11.42888889 11.46305556 11.51638889 11.62611111 11.80833333
 11.85944444 12.11777778]",10,"[0.         0.35611111 0.70722222 0.12916667 0.07805556 0.29888889
 0.25583333 0.24138889 0.11972222 0.07333333 0.45166667 0.45694444
 0.37194444 0.04361111 0.25694444 0.06       0.01361111 0.02166667
 2.175      0.43805556 0.98277778 0.21166667 0.48555556 0.46472222
 0.02277778 0.26166667 1.79611111 0.15722222 0.2025     0.11861111
 0.00527778 0.17083333 0.03416667 0.05333333 0.10972222 0.18222222
 0.05111111 0.25833333]","[8 3 8 3 8 3 8 3 8 3 8 0 8 3 8 3 8 3 8 0 5 0 5 3 8 3 8 3 8 3 8 3 8 3 8 3 8
 3]",10
38,"[0.         0.34222222 0.37027778 0.63138889 0.78666667 0.84111111
 0.925      1.15805556 1.26       1.32972222 1.36805556 1.73722222
 1.77111111 1.86972222 1.93       2.02111111 2.20027778 2.46194444
 3.4175     3.76388889 3.80805556 3.89111111 3.90972222 4.37277778
 4.84361111 5.15722222 5.18361111 5.32222222 5.45333333 5.59722222
 5.64055556 5.91583333 7.10194444 7.165      7.40555556 7.53027778
 8.35638889 8.57416667]",11,"[0.         0.34222222 0.02805556 0.26111111 0.15527778 0.05444444
 0.08388889 0.23305556 0.10194444 0.06972222 0.03833333 0.36916667
 0.03388889 0.09861111 0.06027778 0.09111111 0.17916667 0.26166667
 0.95555556 0.34638889 0.04416667 0.08305556 0.01861111 0.46305556
 0.47083333 0.31361111 0.02638889 0.13861111 0.13111111 0.14388889
 0.04333333 0.27527778 1.18611111 0.06305556 0.24055556 0.12472222
 0.82611111 0.21777778]","[5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5
 0]",10
38,"[0.         0.47805556 0.49722222 0.65833333 0.82611111 0.86
 0.90277778 0.97194444 1.00805556 1.30083333 2.02       2.18555556
 2.68916667 2.75694444 2.96444444 3.03805556 3.43916667 3.63555556
 3.92666667 4.10083333 4.56916667 4.73305556 5.29111111 5.54666667
 5.88888889 5.98861111 6.16333333 6.22861111 6.39388889 6.85527778
 7.15972222 7.40388889 7.73138889 7.77388889 7.90388889 8.08416667
 8.48777778 8.57166667]",12,"[0.         0.47805556 0.01916667 0.16111111 0.16777778 0.03388889
 0.04277778 0.06916667 0.03611111 0.29277778 0.71916667 0.16555556
 0.50361111 0.06777778 0.2075     0.07361111 0.40111111 0.19638889
 0.29111111 0.17416667 0.46833333 0.16388889 0.55805556 0.25555556
 0.34222222 0.09972222 0.17472222 0.06527778 0.16527778 0.46138889
 0.30444444 0.24416667 0.3275     0.0425     0.13       0.18027778
 0.40361111 0.08388889]","[5 3 8 3 8 3 8 3 8 3 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 3 5 0 5 0 5 0 5
 0]",10
38,"[0.         0.18916667 0.26222222 0.36527778 0.69083333 0.86555556
 0.99638889 1.25527778 1.27777778 1.69666667 2.18111111 2.26972222
 2.42916667 2.87777778 3.07611111 3.22611111 3.33444444 3.49416667
 4.21944444 4.44861111 4.47555556 4.55833333 4.59555556 4.8025
 4.9325     4.965      5.245      5.44277778 5.51888889 5.69194444
 6.22861111 6.65722222 7.44055556 7.81138889 8.20611111 8.23833333
 8.32416667 8.68944444]",13,"[0.         0.18916667 0.07305556 0.10305556 0.32555556 0.17472222
 0.13083333 0.25888889 0.0225     0.41888889 0.48444444 0.08861111
 0.15944444 0.44861111 0.19833333 0.15       0.10833333 0.15972222
 0.72527778 0.22916667 0.02694444 0.08277778 0.03722222 0.20694444
 0.13       0.0325     0.28       0.19777778 0.07611111 0.17305556
 0.53666667 0.42861111 0.78333333 0.37083333 0.39472222 0.03222222
 0.08583333 0.36527778]","[8 3 8 3 8 3 8 3 8 4 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 2 8 3 8 3 8
 3]",10
38,"[0.         0.20388889 0.44444444 0.63666667 0.70888889 0.78888889
 0.82055556 0.94361111 1.08472222 1.36888889 1.50222222 1.565
 1.65444444 1.74555556 1.775      1.86583333 1.88944444 2.01138889
 2.16805556 2.42972222 3.11305556 3.19694444 3.25083333 3.48222222
 3.75666667 4.00166667 4.1225     4.315      4.80888889 4.88583333
 5.72444444 5.80972222 6.00027778 6.13611111 6.24194444 6.35722222
 6.38722222 6.47361111]",14,"[0.         0.20388889 0.24055556 0.19222222 0.07222222 0.08
 0.03166667 0.12305556 0.14111111 0.28416667 0.13333333 0.06277778
 0.08944444 0.09111111 0.02944444 0.09083333 0.02361111 0.12194444
 0.15666667 0.26166667 0.68333333 0.08388889 0.05388889 0.23138889
 0.27444444 0.245      0.12083333 0.1925     0.49388889 0.07694444
 0.83861111 0.08527778 0.19055556 0.13583333 0.10583333 0.11527778
 0.03       0.08638889]","[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 4 8 3 8 1 6 1 6 1 8 3 8 3 8 3 8 3 8
 3]",10
36,"[0.         0.29888889 0.41388889 0.65972222 0.75527778 1.15166667
 1.17138889 1.24666667 1.41138889 1.5475     1.65222222 1.72722222
 2.05361111 2.14277778 2.24611111 2.42416667 2.46305556 2.56333333
 2.60111111 2.75805556 2.95444444 3.01333333 3.06       3.12583333
 3.1425     3.20861111 3.43416667 3.50333333 3.77166667 3.99361111
 5.29055556 5.7125     6.16888889 6.44083333 6.57416667 6.91916667]",15,"[0.         0.29888889 0.115      0.24583333 0.09555556 0.39638889
 0.01972222 0.07527778 0.16472222 0.13611111 0.10472222 0.075
 0.32638889 0.08916667 0.10333333 0.17805556 0.03888889 0.10027778
 0.03777778 0.15694444 0.19638889 0.05888889 0.04666667 0.06583333
 0.01666667 0.06611111 0.22555556 0.06916667 0.26833333 0.22194444
 1.29694444 0.42194444 0.45638889 0.27194444 0.13333333 0.345     ]",[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 4 8 0 5 0],10
38,"[0.         0.07833333 0.93833333 1.26805556 1.34388889 1.41
 1.4225     2.02944444 2.22111111 2.36666667 2.39305556 2.80194444
 2.93555556 3.06194444 3.16972222 3.70444444 4.14       4.24638889
 4.49083333 5.03194444 5.495      5.62166667 5.84055556 5.97361111
 6.22277778 6.48027778 6.55083333 6.69555556 6.71472222 6.88333333
 6.90611111 7.10527778 7.26388889 7.59972222 7.80194444 7.99138889
 8.01916667 8.22      ]",16,"[0.         0.07833333 0.86       0.32972222 0.07583333 0.06611111
 0.0125     0.60694444 0.19166667 0.14555556 0.02638889 0.40888889
 0.13361111 0.12638889 0.10777778 0.53472222 0.43555556 0.10638889
 0.24444444 0.54111111 0.46305556 0.12666667 0.21888889 0.13305556
 0.24916667 0.2575     0.07055556 0.14472222 0.01916667 0.16861111
 0.02277778 0.19916667 0.15861111 0.33583333 0.20222222 0.18944444
 0.02777778 0.20083333]","[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 4 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8
 3]",10
38,"[0.         0.73805556 0.82611111 0.97805556 1.035      1.19944444
 1.27611111 1.40638889 1.435      1.73527778 1.78305556 1.81555556
 1.93388889 1.9875     2.01555556 2.10277778 2.11805556 2.18055556
 2.19611111 2.37555556 2.43416667 2.87527778 2.94833333 3.03416667
 3.23777778 3.4575     3.57333333 3.69166667 3.79027778 3.995
 4.56055556 5.245      6.19833333 6.54694444 7.08916667 7.49916667
 7.575      7.71722222]",17,"[0.         0.73805556 0.08805556 0.15194444 0.05694444 0.16444444
 0.07666667 0.13027778 0.02861111 0.30027778 0.04777778 0.0325
 0.11833333 0.05361111 0.02805556 0.08722222 0.01527778 0.0625
 0.01555556 0.17944444 0.05861111 0.44111111 0.07305556 0.08583333
 0.20361111 0.21972222 0.11583333 0.11833333 0.09861111 0.20472222
 0.56555556 0.68444444 0.95333333 0.34861111 0.54222222 0.41
 0.07583333 0.14222222]","[5 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 5 1 5 1 5 3 8
 3]",10
38,"[0.         0.56194444 0.58333333 0.74638889 0.91777778 1.15416667
 1.30305556 1.45194444 1.54194444 1.78638889 1.9475     2.14638889
 2.17555556 2.18972222 2.7325     2.82777778 4.08027778 4.2275
 4.34888889 4.43027778 4.68388889 4.82805556 4.84527778 5.34027778
 5.77027778 6.01666667 6.03194444 6.48361111 6.49666667 6.61194444
 6.8775     6.955      7.65277778 7.91888889 8.26472222 8.46444444
 8.75222222 8.85722222]",18,"[0.         0.56194444 0.02138889 0.16305556 0.17138889 0.23638889
 0.14888889 0.14888889 0.09       0.24444444 0.16111111 0.19888889
 0.02916667 0.01416667 0.54277778 0.09527778 1.2525     0.14722222
 0.12138889 0.08138889 0.25361111 0.14416667 0.01722222 0.495
 0.43       0.24638889 0.01527778 0.45166667 0.01305556 0.11527778
 0.26555556 0.0775     0.69777778 0.26611111 0.34583333 0.19972222
 0.28777778 0.105     ]","[5 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 1 8 3 8 1 6 1 8 3 8 1 8 3 8
 3]",10
38,"[0.         0.44416667 0.48888889 0.81       0.92388889 1.1575
 1.25666667 1.69222222 1.72472222 1.7725     1.81222222 1.9225
 1.95555556 2.19138889 2.25027778 2.34805556 2.39694444 2.68916667
 2.73972222 2.88083333 3.31055556 3.52972222 3.80055556 3.91666667
 3.92583333 4.17888889 4.24583333 4.46555556 5.45444444 5.54916667
 5.60833333 6.00777778 6.11388889 6.31055556 6.33861111 6.75305556
 6.88888889 7.065     ]",19,"[0.         0.44416667 0.04472222 0.32111111 0.11388889 0.23361111
 0.09916667 0.43555556 0.0325     0.04777778 0.03972222 0.11027778
 0.03305556 0.23583333 0.05888889 0.09777778 0.04888889 0.29222222
 0.05055556 0.14111111 0.42972222 0.21916667 0.27083333 0.11611111
 0.00916667 0.25305556 0.06694444 0.21972222 0.98888889 0.09472222
 0.05916667 0.39944444 0.10611111 0.19666667 0.02805556 0.41444444
 0.13583333 0.17611111]","[5 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8
 3]",10
36,"[0.         0.60472222 0.68194444 0.76416667 0.81361111 0.96888889
 1.3475     1.67138889 1.6825     1.74666667 1.81527778 2.00388889
 2.0275     2.31222222 2.32666667 2.39722222 2.47       2.59138889
 2.67138889 2.88472222 2.90833333 2.99222222 3.01888889 3.18638889
 3.23611111 3.50166667 3.59722222 4.13833333 6.4575     7.165
 7.23805556 7.465      7.49055556 7.90444444 8.055      8.43833333]",20,"[0.         0.60472222 0.07722222 0.08222222 0.04944444 0.15527778
 0.37861111 0.32388889 0.01111111 0.06416667 0.06861111 0.18861111
 0.02361111 0.28472222 0.01444444 0.07055556 0.07277778 0.12138889
 0.08       0.21333333 0.02361111 0.08388889 0.02666667 0.1675
 0.04972222 0.26555556 0.09555556 0.54111111 2.31916667 0.7075
 0.07305556 0.22694444 0.02555556 0.41388889 0.15055556 0.38333333]",[5 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 0 5 3 8 3 8 1 6 1],10
36,"[0.         0.12527778 0.3275     0.48444444 0.51277778 0.78805556
 0.82333333 0.89305556 1.09666667 1.22777778 1.47583333 1.54388889
 1.71666667 1.84833333 1.86944444 1.91972222 2.15138889 2.40583333
 2.4825     2.59027778 2.62388889 2.81444444 2.8875     3.20472222
 3.74555556 4.05055556 4.32805556 4.45916667 4.6625     4.87694444
 5.33111111 5.39027778 5.4225     5.45166667 5.62277778 5.77055556]",21,"[0.         0.12527778 0.20222222 0.15694444 0.02833333 0.27527778
 0.03527778 0.06972222 0.20361111 0.13111111 0.24805556 0.06805556
 0.17277778 0.13166667 0.02111111 0.05027778 0.23166667 0.25444444
 0.07666667 0.10777778 0.03361111 0.19055556 0.07305556 0.31722222
 0.54083333 0.305      0.2775     0.13111111 0.20333333 0.21444444
 0.45416667 0.05916667 0.03222222 0.02916667 0.17111111 0.14777778]",[8 1 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 1 8 3 8 1 8 3 8 3 8 3],10
38,"[0.         0.24722222 0.2975     0.62444444 0.71611111 0.82444444
 0.87166667 1.00111111 1.08583333 1.18416667 1.29166667 1.44888889
 1.55472222 1.63638889 1.815      1.87972222 2.09138889 2.26027778
 2.48277778 2.665      2.70083333 2.85305556 2.98944444 3.415
 3.59111111 3.84833333 4.11583333 4.23805556 4.34916667 4.52444444
 4.59083333 4.88305556 5.90555556 6.07694444 6.37888889 6.49055556
 6.85777778 6.91027778]",22,"[0.         0.24722222 0.05027778 0.32694444 0.09166667 0.10833333
 0.04722222 0.12944444 0.08472222 0.09833333 0.1075     0.15722222
 0.10583333 0.08166667 0.17861111 0.06472222 0.21166667 0.16888889
 0.2225     0.18222222 0.03583333 0.15222222 0.13638889 0.42555556
 0.17611111 0.25722222 0.2675     0.12222222 0.11111111 0.17527778
 0.06638889 0.29222222 1.0225     0.17138889 0.30194444 0.11166667
 0.36722222 0.0525    ]","[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 0 8 3 8 3 8 3 8 4 8 3 8 3 8
 3]",10
36,"[0.         0.07916667 0.10972222 0.27444444 0.55527778 0.71333333
 0.84111111 0.98888889 1.15388889 1.25305556 1.34861111 1.6025
 1.68388889 2.04305556 2.27305556 2.6525     2.68138889 2.75444444
 2.89166667 3.00472222 3.15833333 3.495      4.02333333 4.27277778
 4.35944444 4.55805556 4.73305556 4.88777778 5.19083333 5.23333333
 5.46194444 5.57805556 5.59555556 5.66305556 5.73805556 6.19055556]",23,"[0.         0.07916667 0.03055556 0.16472222 0.28083333 0.15805556
 0.12777778 0.14777778 0.165      0.09916667 0.09555556 0.25388889
 0.08138889 0.35916667 0.23       0.37944444 0.02888889 0.07305556
 0.13722222 0.11305556 0.15361111 0.33666667 0.52833333 0.24944444
 0.08666667 0.19861111 0.175      0.15472222 0.30305556 0.0425
 0.22861111 0.11611111 0.0175     0.0675     0.075      0.4525    ]",[8 3 8 3 8 3 8 3 8 3 8 3 8 0 5 3 8 3 8 3 8 0 5 3 8 3 8 3 8 3 8 3 8 3 8 4],10
38,"[0.         0.41388889 0.45833333 0.6125     0.6775     0.78083333
 0.80861111 0.99361111 1.01055556 1.08472222 1.14916667 1.34583333
 1.4625     1.64138889 1.76972222 1.83555556 1.89027778 2.11222222
 2.26583333 2.49361111 2.635      2.70611111 3.13027778 3.41916667
 3.4775     3.69166667 4.00583333 4.05416667 6.39083333 6.75833333
 6.80916667 7.2375     8.00277778 8.14972222 9.15805556 9.33166667
 9.63861111 9.76388889]",24,"[0.         0.41388889 0.04444444 0.15416667 0.065      0.10333333
 0.02777778 0.185      0.01694444 0.07416667 0.06444444 0.19666667
 0.11666667 0.17888889 0.12833333 0.06583333 0.05472222 0.22194444
 0.15361111 0.22777778 0.14138889 0.07111111 0.42416667 0.28888889
 0.05833333 0.21416667 0.31416667 0.04833333 2.33666667 0.3675
 0.05083333 0.42833333 0.76527778 0.14694444 1.00833333 0.17361111
 0.30694444 0.12527778]","[5 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 5 3 8 3 5 0 6 3 8 0 5 3 6 1 6
 1]",10
38,"[ 0.          0.11361111  5.63833333  5.90583333  5.99277778  6.10555556
  6.12527778  6.22083333  6.26194444  6.71972222  6.76611111  6.97805556
  7.46666667  7.65861111  7.69333333  7.93694444  7.94555556  8.37666667
  8.87194444  8.92722222  8.94944444  9.          9.09777778  9.18805556
  9.29166667  9.5475      9.655       9.77305556  9.96694444 10.26972222
 10.44222222 10.61694444 10.63861111 10.74944444 10.77583333 10.90055556
 11.09       11.54916667]",25,"[0.         0.11361111 5.52472222 0.2675     0.08694444 0.11277778
 0.01972222 0.09555556 0.04111111 0.45777778 0.04638889 0.21194444
 0.48861111 0.19194444 0.03472222 0.24361111 0.00861111 0.43111111
 0.49527778 0.05527778 0.02222222 0.05055556 0.09777778 0.09027778
 0.10361111 0.25583333 0.1075     0.11805556 0.19388889 0.30277778
 0.1725     0.17472222 0.02166667 0.11083333 0.02638889 0.12472222
 0.18944444 0.45916667]","[5 0 5 1 6 1 6 1 6 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8
 1]",10
